title,company,location,salary,contact,full_text,label,source,archetype
Optician / Sales,,"US, MD, Bethesda",,,"Optician / Sales  We are a long term well established Optometric practice that is looking for a proactive strong sales expert for a busy optical practice.To apply for this position, please submit your application via this link: #URL_dc6a4e8df8c88cf7bb611c27fadf835b2ea6d40cec837463b39bb6ba9bca8852#?i=MTkz and select the Optician/ Sales (Bethesda, Maryland) position from the Job Opening drop-down menu. The ideal person should be highly self motivated with a strong commitment to customer service. Prefer a candidate with optical experience  however will be willing to train the right candidate.",1,emscad,emscad_fraud
Payroll Administrative Assistant,,"US, KY, ",48000-65000,,"Payroll Administrative Assistant DRS Technologies is a leading supplier of integrated products, services and support to military forces, intelligence agencies and prime contractors worldwide. Focused on defense technology, the Company develops, manufactures and supports a broad range of systems for mission critical and military sustainment requirements, as well as homeland security. DRS’s broad range of mission critical systems and sustainment solutions uniquely position the Company to support the ongoing superiority of the military’s Current Force, as well as the modernization and emerging transformation initiatives of the Future Force. Our sustainment products, such as environmental control systems, power generators, water and fuel distribution systems, chemical/biological decontamination systems and heavy equipment transport systems, are used to support military forces, humanitarian efforts and peacekeeping. We also provide security and asset protection systems and services, telecommunication and information technology services, training and logistics support services for all branches of the U.S. armed forces and certain international militaries, homeland security forces, and select government and intelligence agencies. DRS Technologies is a leading supplier of integrated products, services and support to military forces, intelligence agencies and prime contractors worldwide. Focused on defense technology, the Company develops, manufactures and supports a broad range of systems for mission critical and military sustainment requirements, as well as homeland security. Candidate wanted for a Full-time Assistant Payroll Administrator position. Main responsibilities includeProcessing weekly payrollComplete daily and weekly time inputsProcess lay-off checksSet up new hires and new unionsAssist with reportingBalance payroll and union reports to the general ledger and other tasks as assigned by the Payroll Manager.  1-3 years of professional office experience (HR and Payroll experience preferred)Proficiency with MS Office Suite (Word, Excel, and PowerPoint)Working knowledge of California and Federal laws and practicesAbility to handle confidential information with appropriate skillExcellent written and verbal communication skillsStrong organizational skills and attention to detail",1,emscad,emscad_fraud
Voice Process Associate Wanted in BPO,Eonex Solutions,Jaipur,"₹15,000 + incentives (upto ₹25,000 p.m.)",9900333222 (same day offer),"Voice Process Associate Wanted in BPO Eonex Solutions We are hiring Voice Process Associate in our Jaipur office. Fresher's can apply. No experience required, 12th pass can also apply. Joining immediate. Call us to know more. Good communication skills, basic computer knowledge",1,synthetic_indian,bpo_bulk_scam
Software Engineer ,,"GR, I, Vrilissia , Greece",,,"Software Engineer   Vision Solutions a dynamic startup developing innovative and integrated enterprise software solutions is seeking  professionals to cover the following openings:Junior .NET Developer.NET Developer Data Mining DeveloperYou can send your CV at : #EMAIL_2dd86e0dae4b4353c4184475b196eb5d60ec8fb73fc121051f37a4c2e17c42c1# Required Skills:Degree in Computer Science or Software Engineering2 years experience in developmentAbility to meet objectives within specified time limitsAbility to quickly learn new technologiesExcellent understanding and practical experience ofC ##URL_01a736d89d2f0b19de700923d2c312837e180465650804d0f84105352812bf9a# MVCjQuerySQL ServerAdditionally for the Data Mining Position:Academic or professional experience in complex algorithmic work (such as data mining algorithms, pattern recognition, artificial neural networks, combinatorial optimization, machine learning)Personal Characteristics:▪ Strong analytical &amp; problem solving skills▪ Ability to work effectively as part of a team▪ Highly self-motivated and methodical, with attention to detail",0,emscad_real,legitimate
Production Engineer,,"US, TX, Dallas",,,"Production Engineer Valor Services provides Workforce Solutions that meet the needs of companies across the Private Sector, with a special focus on the Oil &amp; Gas Industry. Valor Services will be involved with you throughout every step of the hiring process and remain in contact with you all the way through the final step of signing of the employment contract with your new employer. Valor Services was founded with the vision of employing the unique skills, experiences, and qualities of America’s finest veterans to provide Private Sector companies with precise and concerted value-added services – and America’s finest Veterans with an optimized career opportunity.We are eager to get the word out to veterans that there are ample opportunities for employment in the private sector and that you are the ideal candidates to fill those positions. Valor Services Your Success is Our Mission. ™  Take your career to the next level with this fantastic job opportunity with one of the fastest growing companies in the Energy Industry!Opportunities for advancement are extensive as the company is currently in the process of strategically expanding.Strong compensation and benefits packages are available for qualified candidates who want to join the largest player in regional plays.*This job will require relocation to Oklahoma City.Essential Job FunctionsPerform engineering functions for production operations within a specified geographic area.Monitor production operations, costs and profitability.Study area for additional developmental drilling prospects.Design and implement facility and well workover plans and procedures.Generate and review AFE's for capital expenditures.Review all expenditures for properties within a specified area.Analyze production problems and direct actions to be taken.Select equipment to be utilized.Assure compliance with governmental requirements and company policies.Provide training and resources to accomplish production goals.Provide expert testimony for regulatory hearings. Bachelor’s degree in engineering required.Experience: A minimum of 5 years related experience or equivalent combination of education and experience.First Aid / CPR Certification, H2S Training, and valid state operator's license required.*Military experience is highly valued by the employer; candidates with military experience can expect some flexibility in terms of requirements, so long as fundamental skills and competencies are present.",0,emscad_real,legitimate
Payroll Data Coordinator Positions - Earn $100-$200 Daily ,,"US, PA, Abbottstown ",,,"Payroll Data Coordinator Positions - Earn $100-$200 Daily   We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills",1,emscad,emscad_fraud
"Tele-caller Wanted for Reputed BPO - ₹25,000/month Salary!",ExcelStar Solutions Pvt. Ltd.,Lucknow,"₹25,000/month","Please send your resume to ExcelStar Solutions, Lucknow.","Tele-caller Wanted for Reputed BPO - ₹25,000/month Salary! ExcelStar Solutions Pvt. Ltd. We are looking for a dynamic Tele-caller to join our team. The successful candidate will be responsible for handling customer calls and providing them with our services. If you are a fresher looking to start your career, this is the perfect opportunity for you! We guarantee a job and provide a supportive work environment. Freshers can apply, no experience required. Good communication skills and a pleasant tone are a must. You will be provided with comprehensive training to become a skilled Tele-caller.",1,synthetic_indian,placement_consultancy_fee
Facilities Development Engineer,,,,,"Facilities Development Engineer Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values. Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions' Concept and Technology team based in St. John's, Newfoundland provides all front-end engineering services required for the development of oil and gas exploration and production facilities, with a strategic focus on field developments in varying water depth and harsh environments. Aker Solutions delivers complete field development solutions and undertakes all activities required to provide the facilities needed for oil and gas exploration, production and processing.Our products and services range from feasibility studies and field planning, through concept screening and selection, concept definition and project execution strategy, to detail engineering, procurement and construction management assistance.We need highly skilled engineers who can strengthen our team and support our ambitious growth plans and clients within the region. We are looking for a Facilities Development Engineer.Responsibilities and tasksManage execution of Facilities System and Topsides Front End Engineering scopes including staffing and competence development.Participate in defining strategies and business development to develop new client basis. Ensure that all system solutions in support of new business opportunities meet specified functional design criteria, and all technical and regulatory requirements.Identify and execute Facilities Systems and Topsides Front End Engineering work including opportunity appraisal, feasibility and concept screening studies, Pre-FEED and FEED. Coordinate and collaborate with subject matter experts within Aker Solutions in providing solutions, establishing and carrying out scope of works related to Facilities concepts. Understands project execution and can play a key role in project kick-off as per Aker Solution’s Project Execution Model (PEM). Assist in identifying project Risks, &amp; Opportunities, uncertainties and contribute to identification of mitigation strategies. Qualifications &amp; personal attributesBachelor of Engineering Degree (or higher) With more than 15 years’ experience in Topsides and/or Field Development Feasibility and concept design, of which at least four years at specialist / managerial level. Overall understanding of totality and disciplines relevant for development of topsides as part of field development concepts.Experience with front-end opportunity appraisal, option evaluation, feasibility assessments and concept development selection.Assets: Significant project engineering and offshore installation and construction experience, preferably in harsh &amp; ice prone environmentsProject cost estimating, schedule development, economic screening and evaluation experience.Experience in concept development and field development planning Knowledge of all project development stages. Knowledge and understanding of CNLOPB and Transport Canada Regulation requirements.Key Competencies:Facilities Development Engineer will display the following competencies and complete the below described essential duties.Analyse Issues and Solve Problems - Gathers the most important information; analyses, incorporates, and applies new information and concepts; recognizes symptoms that indicate problems; makes sound and timely decisions.Understand Strategies - Demonstrates understanding and support of the organization’s mission and strategies; integrates and balances big-picture concerns with day-to-day activities. Encourages Commitment - Projects a positive image and serves as a role model for others; promotes commitment to the organization’s vision, values, and direction; acknowledges others’ efforts and accomplishments.Communicate Effectively - Expresses ideas clearly and concisely; listens carefully and attentively to others’ opinions and ideas; shares information and viewpoints openly and directly with others.Execute Efficiently - Delegates responsibility and conveys clear expectations to the appropriate staff; monitors the progress of others and redirects efforts and/or removes obstacles in order to get efforts back on track; deals with high-priority work activities first.Show Initiative - Sets high standards of performance for self and others and maintains a consistent, high level of productivity; takes personal responsibility to make decisions and take action; does not easily give up in the face of obstacles.Seek Customer Satisfaction - Seeks feedback from customers; tracks performance against customer requirements; addresses customer needs by involving the right people at the right time and follows up to ensure problems are solved.We offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.Consistent with the Accords Act, residents of Newfoundland and Labrador specifically, and Canadians in generally, who are qualified, will be given first consideration for training and employment.",1,emscad,emscad_fraud
Sales Engineer/Platform Support,,"GB, , London",,,"Sales Engineer/Platform Support Aptitude Staffing Solutions has redesigned the recruiting wheel. Our innovative new platform cuts the recruiting time in half, yields scientifically-proven results and clients and candidates enjoy a pleasant experience through advanced, simple to use technology and a tenured, industry-experienced recruiting team. Join us in a fresh new experience of leveraging your career...the way it should be! All represented candidates enjoy the following perks:Expert negotiations, maximizing total compensation package Signing bonus by Aptitude Staffing in addition to client signing bonus (if applicable)1 Year access to AnyPerkRelocation Services for out of town candidatesContinued education in your area of profession, seminars, workshops and other skill development events Contract employees receive quarterly bonuses for the duration of their project Direct-Hire employees receive double bonues ($2,000) per referred/recruited candidate into their newly appointed companyAll candidates are encouraged to participate in our Referral Bonus Program &amp; earn $500 - $1,000 per hired referral             Description:Sales Engineers are a key point of contact for clients and provide both pre- and post-sales advice. They liaise regularly with other members of the sales team and colleagues from a range of departments; such as account management, product development, marketing, finance, engineering, as well as senior company managers.Sales Engineers must be able to articulate technology and product positioning to both business and technical users. They must also be able to identify all technical issues of assigned accounts to assure complete customer satisfaction through all stages of the sales process, and must be able to establish and maintain strong relationships throughout the sales cycle and beyond.Sales Engineers would report into the head of sales.Responsibilities:Actively drive and manage the technical pitch of the Platform for Advertisers, Networks and Publishers (ATA/ATN);Develop sales opportunities by researching and identifying potential accounts, soliciting new accounts, building rapport and providing technical information and explanations;Provide pre-sales technical assistance and product education, and post-sales support services;Create technical presentations and demonstrations on how a product can meet the client needs;Develop long-term relationships with new and existing clients through managing and interpreting their requirements;Persuade clients that a product or service best satisfies their needs in terms of quality, price and delivery (e.g., simplicity);Able to respond to functional and technical elements of RFIs/RFPs;Search for new clients who might benefit from company products or services and maximize client potential;Assess competitors by analyzing and summarizing competitor information and trends, and identify sales opportunities;Update job knowledge by studying new product descriptions, participating in educational opportunities, attending trade shows, conferences and other marketing events;Liaison with other members of the sales team and other technical experts;Convey customer requirements to product management and engineering teams;Meet regular sales targets and coordinate sales projects;Able to travel throughout sales territory. REQUIREMENTS:BS in Computer Science or related field or equivalent work experience; MS a plus2+ years experience working with web technologies including Ad Serving, Video Players, HTTP, HTML, HTML5, IOS, Android, Javascript, Flash, XML, etc.A background in Client Services, Professional Services or Consulting is highly desirable with strong problem solving skills and attention to detail.Aptitude for, and interest in mastering new applications and platformsExcellent written and verbal communication skillsStrong interpersonal skills and a desire to interact with clients, engineers, business analystsFamiliarity with project management and training techniquesIDEAL SKILLS: The ideal candidate will be a self-driven creative thinker, who is prepared to roll up their sleeves and get the job done in a fast-paced growth environment with 2-3 years prior pre sales engineering experience. You must have relevant experience in online advertising and have a solid track record and strong relationships working with advertisers (video publishers preferred).",1,emscad,emscad_fraud
"Client Services Manager NY, NY 1",,"US, NY, NY",,,"Client Services Manager NY, NY 1 #URL_ddb080358fa5eecf5a67c649cfb4ffc343c484389f1bbaf2a1cb071e3f2b6e7e# and Aptitude Staffing Solutions have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications throughout this process to the HR department at Aptitude Staffing Solutions#EMAIL_0c020555b4dbc1c1e03d03c46cc181bcfde81bf5b20fea95d1bc7dc64c79814c#Darren Lawson | VP of Recruiting | #EMAIL_f4da338e899ddba983ac771b001681d1d2d93b3327ddc420a15f4e5a310071a9# | #PHONE_90d33c9d7ec1484aebfe37b153d677decc6f5f53b316489ed24061544c04eb66# #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# is leading the way with technology that's evolving with the changing media landscape, not against it. Description The Client Services Manager will be assigned to specific accounts and be responsible for the successful and on-time execution campaigns running on the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# platform. From setting up and moderating Kick-Off-Calls through ensuring billing is complete, the campaign manager is the primary owner of the successful execution campaigns from assigned accounts. The Client Services Manager will work with media agencies and publishers as well as Account Directors and Sales Directors in the region to ensure that campaigns meet and exceed client’s expectations. The Client Services Manager may manage a coordinator, back-up Client Services Manager peer, or handle certain clients’ work on a one-off basis. Key responsibilities include:Maintaining strong communication and manage expectations with clients, account directors and sales to keep all stakeholders informed of campaign statusExecuting and/or ensuring that process is executed on every assigned campaign, in some cases by delegating campaign tasks to Campaign Coordinator, Ad-Operations or back-up Client Services ManagerTroubleshooting and solving common technical problems, and address client issuesMonitoring campaign performance to client’s objectives and make optimization as necessaryMaintaining and expanding client relationships; notifying stakeholders about future business opportunitiesDeveloping and maintaining expert level proficiency in the #URL_b0c46563ede9cd7db1c4789a59b5459bbd3bc82e0f5dbdb0b142ceb7d21416f5# tool set REQUIREMENTSBasic Qualifications:Proven experience in management of digital ad delivery, optimization and/or yield managementAbility to prioritize multiple tasks and meet deadlines with demonstrated initiativeStrong initiative and ability to work well under pressure while maintaining good attitudeAbility to work well independently define/manage objectives in a fast paced environmentAbility to maintain excellent internal and external client relationshipsProficiency in MS Office Suite, with an emphasis in ExcelBA/BS degreeMinimum 3 years of relevant client services management position in the digital ad spacePreferred Qualifications:5 years related experience in online advertisingStrong understanding in leading ad servers and ad networksAn understanding of video media and knowledge of programmatic transactions",1,emscad,emscad_fraud
